
date;_sale_id;_product_id;category;quantity;unit_price;discount;country;payment_method
2024-01-05;3fa85f64-5717-4562-b3fc-2c963f66afa6;123456789012;Electronics;5;299.99;0.1;Estados Unidos;Credit Card
2024-01-07;4b825e00-5717-4562-b3fc-2c963f66afa7;234567890123;Clothing;3;49.99;0.05;Reino Unido;Debit Card
2024-01-10;5c0e5f78-5717-4562-b3fc-2c963f66afa8;345678901234;Food;10;9.99;0;España;Cash
2024-02-15;6d1f7e80-5717-4562-b3fc-2c963f66afa9;456789012345;Toys;2;19.99;0.15;Francia;PayPal
2024-02-20;7e2f8f92-5717-4562-b3fc-2c963f66afaa;567890123456;Books;1;14.99;0.2;Alemania;Bank Transfer
2024-03-01;8fa3e2d4-5717-4562-b3fc-2c963f66afac;678901234567;Home;7;89.99;0.1;Estados Unidos;Credit Card
2024-03-10;9ab4f3c6-5717-4562-b3fc-2c963f66afad;789012345678;Electronics;4;399.99;0;Reino Unido;Debit Card
2024-03-15;0bc5a4d8-5717-4562-b3fc-2c963f66afae;890123456789;Clothing;6;59.99;0.05;Francia;PayPal
2024-04-03;1cd6b5ea-5717-4562-b3fc-2c963f66afaf;901234567890;Food;8;5.99;0;España;Cash
2024-04-20;2de7c6fb-5717-4562-b3fc-2c963f66afb0;012345678901;Toys;3;29.99;0.15;Alemania;Bank Transfer
2024-05-05;3ef8d7ac-5717-4562-b3fc-2c963f66afb1;112345678902;Books;2;19.99;0.2;Estados Unidos;Credit Card
2024-05-25;4f09e8bd-5717-4562-b3fc-2c963f66afb2;212345678903;Home;5;129.99;0.1;Reino Unido;Debit Card
2024-06-01;a1b2c3d4-5717-4562-b3fc-2c963f66af10;312345678901;Electronics;2;399.99;0.1;Estados Unidos;Bitcoin
2024-06-10;b2c3d4e5-5717-4562-b3fc-2c963f66af11;412345678902;Clothing;5;59.99;0.05;Alemania;Bitcoin
2024-06-15;c3d4e5f6-5717-4562-b3fc-2c963f66af12;512345678903;Books;1;24.99;0;Reino Unido;Bitcoin
2024-07-11;d4e5f6a7-5717-4562-b3fc-2c963f66af13;612345678904;Home;3;199.99;0.15;Francia;Bitcoin
